DATETIME;ATHN;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;IRKT;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;NRLK;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2023-04-23 00:49:00; 53.644;218.883;259.767;   null;120.750;1279.100;124.233;160.116;351.979;420.765;345.100;373.000;167.000;107.358; 93.140;172.187;211.200;210.422;293.567;103.228;165.266;124.180; 96.533;212.650;189.220;   null;199.520;207.820;117.900;218.653;136.420;275.350;  4.586; 16.784;112.843
2023-04-23 00:50:00; 55.271;216.133;258.385;   null;122.067;1288.000;127.005;154.193;345.509;426.587;345.200;369.000;171.000;102.818; 93.440;170.566;213.333;209.235;292.629;102.255;165.386;120.950; 96.133;205.370;181.810;259.670;195.740;204.510;116.060;221.575;135.930;273.030;  4.419; 17.190;111.118
2023-04-23 00:51:00; 51.586;222.817;256.365;   null;124.367;1282.700;124.376;152.845;355.247;426.105;344.980;374.000;165.000;101.462; 88.400;179.018;207.467;213.218;290.756;102.137;162.781;121.220; 95.733;209.530;184.400;   null;201.060;209.240;116.020;217.307;132.250;280.310;  5.068; 18.591;114.914
2023-04-23 00:52:00; 54.586;224.250;265.137;   null;121.633;1293.500;123.978;153.497;341.189;423.850;346.430;374.000;167.000;107.290; 87.900;170.703;208.800;217.152;290.384; 99.713;170.010;119.880; 98.933;206.080;179.670;254.910;201.590;206.970;115.450;221.320;134.750;274.670;  4.901; 17.451;108.012
2023-04-23 00:53:00; 53.951;218.550;259.421;   null;122.917;1275.900;125.252;151.609;354.640;418.587;342.510;379.000;171.000;103.359; 90.270;175.391;206.267;211.548;294.195;101.145;166.325;122.790; 96.533;209.530;182.140;254.300;199.120;211.170;115.070;222.952;135.880;285.200;  4.808; 17.374;112.498
2023-04-23 00:54:00; 52.559;214.767;254.466;   null;122.900;1289.200;123.100;154.944;359.055;426.414;341.710;371.000;163.000;109.793; 91.290;173.425;214.533;218.332;287.758;102.258;163.857;122.700; 99.600;206.380;186.120;   null;204.810;202.760;117.000;217.412;135.500;278.560;  5.013; 18.347;110.773
2023-04-23 00:55:00; 50.818;217.617;261.355;   null;121.183;1302.900;124.155;156.722;347.146;422.335;349.900;369.000;166.000;103.215; 89.430;171.575;208.133;209.235;294.774;100.650;165.344;120.810; 96.667;206.200;187.870;   null;204.900;202.220;117.200;221.703;136.840;282.610;  4.401; 18.519;109.047
2023-04-23 00:56:00; 55.177;220.667;256.572;   null;120.650;1307.800;121.753;154.322;349.311;420.360;345.730;365.000;166.000; 99.810; 90.270;172.717;208.933;213.434;290.788;104.017;163.088;120.090; 97.867;203.920;184.900;   null;198.670;203.970;118.280;218.200;137.600;281.750;  4.736; 17.287;111.008
2023-04-23 00:57:00; 52.460;221.233;257.988;   null;119.900;1292.400;125.232;158.063;346.725;424.918;352.510;   null;164.000;108.181; 89.970;175.024;205.067;211.548;287.392;101.245;165.158;119.840; 96.800;206.930;184.390;   null;206.640;209.470;116.920;215.228;135.540;278.220;  4.773; 17.878;111.008
2023-04-23 00:58:00; 54.826;215.050;257.125;   null;119.700;1296.700;119.975;156.480;347.520;422.798;343.000;367.000;169.000;104.374; 91.390;170.283;211.067;212.949;289.071; 99.196;169.247;122.900; 94.133;203.850;184.670;   null;201.650;207.450;114.790;223.087;137.840;286.260;  4.736; 17.925;109.047
2023-04-23 00:59:00; 53.355;216.217;253.722;   null;119.433;1256.400;127.487;154.155;347.011;422.913;348.860;374.000;165.000;103.716; 91.250;176.304;206.933;217.632;291.157;103.944;165.867;122.720; 96.667;209.730;187.320;256.270;199.480;209.210;119.750;214.208;133.490;279.950;  4.661; 18.317;111.118
2023-04-23 01:00:00; 55.337;224.033;257.522;   null;122.967;1295.700;118.915;156.277;349.055;428.118;346.530;372.000;167.000;108.947; 91.090;170.301;212.800;207.345;291.782;100.312;168.820;119.860;101.467;209.050;186.940;   null;194.760;202.070;117.270;223.635;137.080;281.490;  4.624; 16.738;110.427
2023-04-23 01:01:00; 54.717;214.600;262.255;   null;119.017;1307.800;121.686;150.092;351.776;424.860;342.530;371.000;166.000;108.549; 92.910;168.856;206.267;209.235;285.737; 98.836;167.484;122.020; 97.867;205.560;185.450;261.710;200.200;203.710;116.900;219.908;133.670;276.650;  4.624; 17.346;115.949
2023-04-23 01:02:00; 53.835;220.850;257.902;   null;122.900;1308.900;121.897;157.567;351.717;425.554;344.460;377.000;172.000;108.962; 93.190;175.596;204.800;216.933;292.080; 99.930;166.728;120.680;102.267;208.230;186.050;   null;203.010;206.870;117.950;219.693;135.020;277.730;  4.939; 17.081;113.188
2023-04-23 01:03:00; 52.715;221.300;262.496;   null;119.267;1301.500;124.472;159.347;351.963;417.968;345.980;378.000;160.000;100.311; 91.000;170.026;211.467;208.746;291.829;102.022;167.343;127.180; 95.333;207.280;181.520;   null;197.700;207.720;113.000;217.885;134.450;280.120;  5.125; 17.987;113.188
2023-04-23 01:04:00; 52.723;223.700;261.459;   null;120.567;1277.500;122.833;150.403;348.632;417.390;347.600;384.000;170.000;102.743; 88.970;169.936;209.867;208.256;290.319;102.059;171.127;118.220; 92.667;205.890;188.450;256.690;202.490;207.860;117.320;218.585;135.490;281.710;  4.606; 18.861;108.702
2023-04-23 01:05:00; 52.961;219.133;259.681;   null;124.433;1287.400;125.618;153.248;351.537;417.852;348.010;370.000;167.000;105.439; 89.950;167.521;209.067;217.152;287.394; 99.948;166.406;121.470; 97.067;205.640;181.560;   null;203.310;208.820;120.490;218.395;138.160;279.090;  4.420; 17.924;113.533
