DATETIME;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSB;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2024-05-10 01:02:00;216.750;254.413; 71.150;120.500;1258.100;117.211;147.677;331.993;422.261;   null;408.000;101.361; 89.930;158.270;206.000;204.808;280.975; 97.856;162.517; 94.800;203.670;174.050;249.600;194.860;202.600;112.390; 26.080;232.490;128.610;274.070;  4.658; 16.925;110.658
2024-05-10 01:03:00;224.800;260.002; 71.917;118.333;1280.100;115.242;150.858;318.360;423.066;   null;410.000;101.532; 89.640;158.498;201.600;206.897;275.917;101.427;162.582; 94.000;196.710;177.370;   null;198.930;205.690;112.810; 25.620;226.790;129.360;268.930;  4.604; 15.694;105.763
2024-05-10 01:04:00;215.150;260.107; 70.650;120.883;1277.400;114.748;150.038;322.424;419.143;   null;404.000;102.628; 90.790;156.389;199.867;212.363;278.466; 98.357;162.303; 97.200;198.970;174.490;   null;194.940;205.450;111.860; 26.670;225.030;129.960;271.110;  4.767; 16.986;108.748
2024-05-10 01:05:00;222.000;250.448; 69.183;120.867;1269.200;113.829;150.723;323.164;426.385;   null;410.000;102.659; 87.390;160.223;206.533;207.427;277.207; 99.137;161.529; 92.133;199.510;179.740;   null;198.920;199.390;114.980; 26.290;230.880;129.700;264.620;  4.767; 16.315;114.623
2024-05-10 01:06:00;218.083;253.941; 67.417;121.617;1275.700;119.395;151.499;327.297;423.207;   null;400.000;103.591; 89.320;164.868;205.733;212.140;273.059; 95.622;163.380; 96.000;199.450;176.590;246.100;193.850;193.850;112.780; 26.050;229.830;128.010;271.480;  4.460; 17.106;106.588
2024-05-10 01:07:00;217.250;256.089; 66.433;119.817;1280.700;115.447;145.802;329.215;423.931;   null;401.000;102.667; 88.690;156.506;208.533;211.416;278.100; 99.440;159.957; 93.067;200.860;178.630;   null;197.750;196.870;113.390; 26.630;223.530;130.600;268.960;  4.532; 16.937;109.828
2024-05-10 01:08:00;218.533;259.530; 74.000;118.800;1270.500;111.816;152.647;324.721;421.165;   null;406.000;102.714; 85.400;170.048;199.467;209.522;273.508; 97.053;159.230; 95.600;195.830;175.370;   null;198.340;212.170;110.760; 24.430;229.380;127.540;267.690;  4.676; 17.485;111.269
2024-05-10 01:09:00;223.450;255.688; 71.350;123.017;1272.700;115.625;151.431;320.114;420.804;   null;400.000; 97.434; 87.390;159.787;199.467;205.753;275.036; 98.516;159.936; 94.400;196.660;174.530;254.500;195.340;196.590;113.260; 25.430;224.900;128.570;267.390;  4.200; 16.468;110.549
2024-05-10 01:10:00;216.167;256.509; 68.200;117.083;1284.000;113.548;148.629;331.727;422.965;   null;404.000; 96.354; 89.450;159.756;204.400;213.096;278.865; 98.316;162.906; 93.467;198.980;176.900;   null;196.840;208.280;113.460; 26.260;225.550;128.470;271.290;  3.862; 16.940;107.054
2024-05-10 01:11:00;222.333;257.225; 67.367;122.867;1277.500;116.535;149.493;329.983;414.994;   null;402.000;103.607; 87.180;169.827;205.067;203.654;274.962; 98.981;162.588; 90.533;199.150;178.350;   null;191.710;202.640;114.670; 26.430;224.410;126.990;275.840;  4.749; 16.515;105.972
2024-05-10 01:12:00;216.917;257.033; 70.667;123.700;1237.500;117.336;151.621;319.713;412.710;   null;404.000; 97.225; 84.440;154.456;204.667;207.429;277.504; 96.542;161.603; 94.533;202.150;181.050;   null;196.720;201.400;113.100; 26.660;228.830;127.960;272.200;  4.441; 17.213;108.388
2024-05-10 01:13:00;217.367;258.116; 73.033;123.117;1280.000;114.654;150.090;328.475;417.638;   null;406.000;104.430; 88.310;159.745;205.600;207.423;273.972; 96.097;159.055; 92.267;198.790;175.000;252.200;195.310;202.880;111.680; 26.460;226.690;127.910;272.180;  4.586; 15.632;105.867
2024-05-10 01:14:00;217.283;259.687; 69.617;123.683;1249.400;116.744;149.673;319.202;412.863;   null;408.000;101.402; 84.620;161.260;203.867;208.584;273.748; 97.734;162.193; 95.600;199.450;178.690;   null;196.550;200.480;112.970; 27.160;224.590;128.390;265.190;  4.840; 15.710;107.160
2024-05-10 01:15:00;223.600;257.452; 72.833;122.100;1289.500;113.984;152.153;325.076;419.095;   null;407.000;102.986; 84.960;163.999;202.533;213.514;277.201; 96.265;161.829; 93.467;198.810;174.930;253.900;198.830;199.520;111.590; 24.600;226.990;127.330;271.590;  4.134; 15.831;104.273
2024-05-10 01:16:00;215.800;258.447; 67.083;118.317;1273.800;120.228;148.934;327.248;424.805;   null;402.000;107.481; 86.950;159.992;205.467;215.627;273.382; 99.182;165.572; 93.600;199.270;173.940;246.500;190.880;201.880;110.540; 26.550;226.720;127.510;265.290;  4.479; 15.831;110.046
2024-05-10 01:17:00;218.483;255.095; 69.400;117.867;1278.300;113.722;151.360;330.923;424.030;   null;404.000;103.794; 86.610;165.286;201.067;208.061;274.421;100.468;160.882; 97.600;201.300;177.380;250.400;194.400;195.440;113.040; 25.520;226.130;127.400;271.080;  4.768; 18.114;108.964
2024-05-10 01:18:00;212.817;260.246; 69.617;120.400;1269.200;121.630;149.075;324.356;417.859;   null;408.000;101.032; 89.940;164.153;201.867;204.278;270.030; 96.789;155.253; 95.333;201.240;173.650;   null;192.400;196.010;114.640; 26.630;226.420;129.470;268.950;  4.659; 18.024;106.799
2024-05-10 01:19:00;218.417;254.850; 71.300;119.917;1272.400;117.227;150.093;325.873;411.575;   null;402.000; 92.810; 87.320;160.974;202.533;204.278;276.508;100.628;161.545; 94.000;199.750;180.630;   null;193.470;195.480;114.640; 26.150;226.650;129.040;266.550;  4.714; 17.327;107.054
2024-05-10 01:20:00;224.550;255.408; 67.367;122.217;1264.100;111.697;150.161;322.893;426.993;   null;406.000;104.074; 90.360;164.530;201.067;208.269;272.711; 98.520;158.047; 95.733;194.610;173.590;   null;199.860;206.390;113.290; 25.340;229.010;127.270;270.960;  4.642; 17.330;109.937
2024-05-10 01:21:00;224.583;253.802; 72.783;121.650;1284.800;115.369;152.104;334.901;420.102;   null;401.000;102.731; 86.720;163.819;205.600;212.060;279.893; 99.824;161.594; 95.200;202.880;171.730;   null;197.950;205.810;113.620; 25.750;226.110;129.780;269.480;  4.134; 16.600;109.108
2024-05-10 01:22:00;217.233;257.103; 70.400;119.933;1240.700;116.108;151.685;333.586;431.233;   null;402.000;106.191; 88.840;166.676;204.533;206.163;279.151; 99.324;167.352; 95.467;196.610;177.610;250.600;194.330;201.980;114.250; 26.870;228.750;130.890;270.590;  4.842; 16.721;108.495
2024-05-10 01:23:00;220.367;254.657; 70.450;121.817;1277.700;116.499;152.793;327.144;424.170;   null;409.000;100.629; 87.360;163.017;205.067;211.629;275.777; 98.118;160.051; 93.600;194.180;176.200;   null;196.900;202.890;109.910; 25.230;226.710;130.030;272.390;  4.643; 17.208;109.108
2024-05-10 01:24:00;215.833;254.553; 72.650;120.267;1284.700;121.984;148.890;322.467;425.356;   null;400.000;106.912; 88.210;165.304;204.533;208.061;284.490; 95.897;161.841; 93.467;201.470;183.760;255.400;198.710;208.160;112.760; 25.550;228.190;129.360;265.320;  4.497; 16.341;104.427
2024-05-10 01:25:00;221.283;260.211; 67.317;117.917;1282.900;113.545;147.550;325.053;416.766;   null;406.000;100.111; 88.920;165.368;199.200;206.581;279.107; 97.646;162.729; 95.200;200.380;175.250;244.500;196.900;195.520;112.860; 27.010;230.430;128.610;265.850;  3.827; 16.220;109.828
2024-05-10 01:26:00;221.533;256.456; 68.417;121.500;1287.100;114.660;149.711;328.460;420.313;   null;405.000;105.819; 85.670;164.647;200.667;208.271;272.445; 96.869;162.729; 96.000;202.750;172.260;249.800;197.400;202.390;115.010; 26.890;227.080;126.660;271.600;  4.389; 16.403;110.516
